"Data generated on Saturday, April 5, 2025 at 3:51:29 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Mexico,1,Corn,"2,302,162","2,549,764","2,645,453","3,060,795","2,735,928","2,685,157","4,699,232","4,923,349","5,386,136","5,619,839","894,129","822,117",-8,US,MX,0115AT
2,Japan,1,Corn,"2,021,624","2,091,104","2,163,407","2,813,038","2,011,164","1,855,524","3,188,926","2,994,876","2,072,342","2,774,569","520,556","550,152",6,US,JA,0115AT
3,Colombia,1,Corn,"770,375","771,233","784,679","927,293","682,453","879,161","1,089,330","957,895","1,137,605","1,561,163","259,324","264,393",2,US,CO,0115AT
4,"Korea, South",1,Corn,"647,984","864,486","705,397","1,355,660","358,708","548,086","858,913","508,025","271,352","688,631","82,600","292,660",254,US,KS,0115AT
5,Canada,1,Corn,"211,817","146,486","130,637","308,523","348,901","271,931","662,914","1,337,621","671,161","449,055","109,773","45,599",-58,US,CA,0115AT
6,Other Partners total,1,Corn,"2,317,030","3,455,508","2,700,990","4,007,059","1,533,494","3,006,021","8,129,528","7,849,496","3,572,234","2,824,957","429,509","867,050",-172,,,
,Grand Total,,,"8,270,992","9,878,581","9,130,563","12,472,368","7,670,648","9,245,880","18,628,843","18,571,262","13,110,830","13,918,214","2,295,891","2,841,971",24,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,