"Data generated on Saturday, April 5, 2025 at 3:54:56 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Mexico,1,Rice,"284,812","268,473","293,263","269,621","279,930","247,078","308,412","220,387","283,218","445,414","74,184","67,053",-10,US,MX,0110AT
2,Japan,1,Rice,"278,260","234,147","189,599","232,114","276,750","263,473","291,814","297,274","419,048","298,527","63,171","54,179",-14,US,JA,0110AT
3,Haiti,1,Rice,"189,308","190,234","236,756","206,446","206,170","245,141","223,713","232,052","264,489","267,694","32,771","38,004",16,US,HA,0110AT
4,"Korea, South",1,Rice,"132,604","105,328","85,478","88,858","120,455","152,716","132,197","118,973","69,878","198,787","43,461","16,526",-62,US,KS,0110AT
5,Canada,1,Rice,"171,237","158,872","158,168","186,390","204,397","208,046","212,390","244,520","220,696","192,322","32,500","35,180",8,US,CA,0110AT
6,Other Partners total,1,Rice,"949,128","841,242","759,283","710,266","779,391","769,846","791,288","606,871","799,197","1,045,386","227,229","161,378",41,,,
,Grand Total,,,"2,005,349","1,798,296","1,722,547","1,693,695","1,867,093","1,886,300","1,959,814","1,720,077","2,056,526","2,448,130","473,316","372,320",-21,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,