"Data generated on Saturday, April 5, 2025 at 4:15:38 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Mexico,1,"Sugr & Rel Pdt,X Hon","663,491","657,536","716,061","725,125","675,726","609,365","598,140","717,281","980,228","1,305,120","213,477","155,205",-27,US,MX,0800AT
2,Canada,1,"Sugr & Rel Pdt,X Hon","518,794","553,634","541,374","535,721","501,181","500,164","563,057","659,554","707,186","704,251","119,326","112,369",-6,US,CA,0800AT
3,United Kingdom,1,"Sugr & Rel Pdt,X Hon","34,036","34,677","32,370","23,269","28,428","37,015","42,380","39,718","38,101","56,244","4,932","14,691",198,US,UK,0800AT
4,Japan,1,"Sugr & Rel Pdt,X Hon","58,698","48,674","34,112","48,642","48,689","37,523","46,815","62,860","58,476","48,620","8,060","6,344",-21,US,JA,0800AT
5,United Arab Emirates,1,"Sugr & Rel Pdt,X Hon","42,820","36,166","23,687","25,741","19,947","14,751","17,333","20,262","33,092","45,605","4,211","6,232",48,US,AE,0800AT
6,Other Partners total,1,"Sugr & Rel Pdt,X Hon","399,012","379,469","354,234","372,167","361,904","300,944","356,270","405,390","421,460","417,176","70,421","74,223",-204,,,
,Grand Total,,,"1,716,851","1,710,156","1,701,838","1,730,665","1,635,875","1,499,762","1,623,995","1,905,065","2,238,543","2,577,016","420,427","369,064",-12,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,